chengyu	pingyin	jieshi	chuchu	lizi
龟厌不告	guī yàn bù gào	指屡加龟卜，致使龟灵厌恶，不再以吉凶告人。比喻很有效的东西，过度使用也会失灵。	《诗经·小雅·小昮》我龟既厌，不我告犹。	无
龟冷支床	guī lěng zhī chuáng	比喻壮志未酬，蛰居待时。	《史记·龟策列传褚少孙论》南方老人用龟支床足，行二十余岁，老人死，移床，龟尚生不死。	无
龟冷搘床	guī lěng zhī chuáng	比喻壮志未酬，蛰居待时。	西汉·司马迁《史记·龟策列传褚少孙论》南方老人用龟支床足，行二十余岁，老人死，移床，龟尚生不死。	骥衰伏枥心千里，～寿百年。★宋·陆游《杂兴》诗
龚行天罚	gōng xíng tiān fá	奉天之命进行惩罚。	东汉·班固《汉书·叙传下》皇矣汉祖，龚行天罚，赫赫明明。	手握牙璋，～。★清·陈康祺《燕下乡脞录》第二卷
龙鸣狮吼	lóng míng shī hǒu	比喻沉郁雄壮的声音。	南朝·宋·刘义庆《世说新语》王子乔墓在京茂陵，国乱时，有人盗发之，都无所见，唯有一剑，县在空中，欲取之，剑便作龙鸣虎吼。	无
龙鬼蛇神	lóng guǐ shé shén	比喻奇诡怪僻。	无	无
龙骧麟振	lóng xiāng lín zhèn	龙骧，昂举腾跃的样子。比喻将军恩威兼备。	麟振，语出《诗·周南·麟之趾》鳞之趾，振振公子，于嗟麟兮。”毛传麟，信而应礼，以足至者也。振振，信厚也。	[邓艾]受命忘身，～，前无坚敌。★《晋书·段灼传》
龙骧豹变	lóng xiāng bào biàn	比喻书法气势壮盛而善于变化。	无	无
龙骧蠖屈	lóng xiāng huò qū	比喻随时屈伸、上下。	无	无
龙骧虎踤	lóng xiāng hǔ jià	雄踞的样子。	无	无
龙骧虎视	lóng xiāng hǔ shì	象龙马高昂着头，象老虎注视着猎物。形容人的气慨威武。也比喻雄才大略。	汉·潘勗《册魏公九锡文》君龙骧虎视，旁眺八维，搑讨逆节，折冲四海。”《三国志·蜀书·诸葛亮传》亮之素志，进欲龙骧虎视，苞括四海。	～安乾坤，万古千秋名不朽。★明·罗贯中《三国演义》第三十八回
龙骧虎步	lóng xiāng hǔ bù	龙高大的马，古称八尺以上的马为龙；骧马高扬着头的样子。象龙马昂首，如老虎迈步。形容气慨威武雄壮。	三国·魏·嵇康《卜疑》将如毛公蔺生之龙骧虎步，慕为壮士乎？”《三国志·魏书·陈琳传》今将军总皇威，握兵要，龙骧虎步，高下在心。	公～，啸咤风云。★《宋书·高祖纪》
龙骧虎啸	lóng xiāng hǔ xiào	比喻气概威武。	无	无
龙骧凤矫	lóng xiāng fèng jiǎo	龙腾凤飞。喻指行动迅猛。	《宋书·武帝纪中》公龙骧凤矫咫尺八纮，括囊四海，折冲无外。	无
龙驹凤雏	lóng jū fèng chú	驹小马；雏细鸟。比喻英俊秀颖的少年。常作恭维语。	《晋书·陆云传》云字士龙，六岁能属文，性清正，有才理。少与兄机齐名，虽文章不及机，而持论过之，号曰‘二陆’。幼时吴尚书广陵闵鸿见而奇之，曰‘此儿若非龙驹，当是凤雏。’	令郎真乃～，非小王在世翁前唐突，将来雏凤清于老凤声”，未可量也。★清·曹雪芹《红楼梦》第十五回
龙驰虎骤	lóng chí hǔ zhòu	指群雄逐鹿。	无	无
龙驭上宾	lóng yù shàng bīn	此为皇帝之死的讳饰语。意为乘龙升天，为天帝之宾。	《史记·封禅书》黄帝采首山铜，铸鼎于荆山下。鼎既成，有龙垂胡涘下迎黄帝。黄帝上骑，群臣后宫从上者七十馀人，龙乃上去。	盖有意大用，未几而～矣。★明·李东阳《张公墓志铭》
龙马精神	lóng mǎ jīng shén	龙马古代传说中形状象龙的骏马。比喻人精神旺盛。	唐·李郢《上裴晋公》诗四朝忧国鬓如丝，龙马精神鹤姿。	见那些大哥哥还在～地说话，她也听不出味道，就打了两个哈欠，悄悄溜了出来。★欧阳山《三家巷》九
龙首豕足	lóng shǒu shǐ zú	犹言牛头不对马嘴。指对书义的解释与原旨相去甚远，风马牛不相及。	无	无
龙飞虎跳	lóng fēi hǔ tiào	比喻笔势遒劲奔放。	无	无
龙飞凤舞	lóng fēi fèng wǔ	原形容山势的蜿蜒雄壮，后也形容书法笔势有力，灵活舒展。	汉·张衡《东京赋》我世祖龙飞白水，凤翔参墟。”宋·苏轼《表忠观碑》天目之山，苕水出焉，龙飞凤舞，萃于临安。	抬头看见北墙上挂着四幅大屏，草书得～，出色惊人。★清·刘鹗《老残游记》第九回
龙飞凤翥	lóng fēi fèng zhù	形容笔势雄奇飞动。	无	无
龙飞凤翔	lóng fēi fèng xiáng	①指帝王的兴起。②比喻仕途得意，飞黄腾达。	无	无
龙颜凤姿	lóng yán fèng zī	指帝王之相。	无	无
龙韬豹略	lóng tāo bào lüè	指兵法。	明·宋濂《走笔送金贤良》诗蛋雨蛮烟十年梦，龙韬豹略一生心。	无
龙雕凤咀	lóng diāo fèng jǔ	比喻辞藻之美。	无	无
龙雏凤种	lóng chú fèng zhǒng	指帝王后裔。	无	无
龙阳泣鱼	lóng yáng qì yú	后以之为失宠之典。	《战国策·魏策四》魏王与龙阳君共船而钓，龙阳君得十馀鱼而涕下。……王曰‘然则何为出涕？’曰‘臣为王之所得鱼也。’王曰‘何谓也？’对曰‘臣之始得鱼也，臣甚喜，后得又益大，今臣直欲弃臣前之所得矣。……臣亦将弃矣，臣安能无涕	妾蒙主人恩宠无比，但恐春老花残，主上恩移宠衰，使妾有～之悲，班姬题扇之怨，奈何？★元·白朴《梧桐雨》第一折
龙门点额	lóng mén diǎn é	比喻仕路失意或科场落第。	北魏·郦道元《水经注·河水四》《尔雅》曰‘鳣，有也。’出巩穴三月，则上渡龙门，得渡为龙矣，否则点额而还。	俞良八千有馀多路，来到临安，指望一举成名。争奈时运未至，～，金榜无名。★《警世通言·俞仲举题诗遇上皇》
龙蹲虎踞	lóng dūn hǔ jù	犹言龙盘虎踞∶像盘绕的龙，蹲伏的虎。特指南京。亦形容地势雄伟险要。	宋·丁开《建业》诗龙蹲虎踞江山大，马去牛来社稷空。	无
龙踚虎卧	lóng quán hǔ wò	犹言龙蟠虎踞。比喻山势逶迤起伏。	无	无
龙跳虎卧	lóng tiào hǔ wò	比喻文笔、书法纵逸雄劲。	南朝·梁·袁昂《古今书评》萧思话书走墨连绵，字势屈强若龙跳天门，虎卧凤阁。	无
龙跳虎伏	lóng tiào hǔ fú	犹言龙腾虎卧。比喻笔势。	无	无
龙跃鸿矫	lóng yuè hóng jiǎo	比喻高举远逝。	无	无
龙跃虎踞	lóng yuè hǔ jù	比喻超逸雄奇。	无	无
龙跃凤鸣	lóng yuè fèng míng	象龙在腾跃，凤凰在高鸣。比喻才华出众。	南朝·宋·刘义庆《世说新语·赏誉》君兄弟龙跃云津，顾彦先凤鸣朝阳，谓东南之宝已尽，不意复见褚生。	无
龙言凤语	lóng yán fèng yǔ	比喻轻松悠扬的音乐之声。	无	无
龙行虎步	lóng xíng hǔ bù	原形容帝王的仪态不同一般◇也形容将军的英武姿态。	《宋书·武帝纪上》刘裕龙行虎步，视瞻不凡，恐不为人下，宜早为其所。	黄君总率六师，～，苟军人受谣成惑，当明谕晓导，以解群疑。★章炳麟《驳黄兴主张南都电》
龙行虎变	lóng xíng hǔ biàn	比喻帝王革故鼎新，创制建业。	《易·干》飞龙在天……云从龙。风从虎，圣人作而万物睹。”又《革》大人虎变。”孔颖达疏损益前王，创制立法，有文章之美，焕然可观，有似虎变，其文彪炳。	高祖起于布衣之中，奋剑而取天下，不由唐虞之禅，不阶汤武之王，～，率从风云，征乱伐暴，廓清帝宇。★汉·荀悦《汉纪·高祖纪一》
龙血玄黄	lóng xuě xuán huáng	比喻战争激烈，血流成河。	《易·坤》龙战于野，其血玄黄。	无
龙血凤髓	lóng xuè fèng suǐ	比喻高贵的血统。	无	无
龙蟠虬结	lóng pán qiú jié	犹言旋绕纠结。	无	无
龙蟠虎踞	lóng pán hǔ jù	象龙盘着，象虎蹲着。形容地势雄伟险要。特指南京。	晋·吴勃《吴录》刘备曾使诸葛亮至京，因睹秣陵山阜，叹曰‘钟山龙盘，石头虎踞，此帝王之宅。’	～帝王州，帝子金陵访古丘。★唐·李白《永王东巡歌》
龙蟠虎绕	lóng pán hǔ rào	犹言龙盘虎踞。形容地势雄伟险要。	宋·范成大《水龙吟·寿留寺》词物外新闻，凤歌鸾翥，龙蟠虎绕。	无
龙蟠虎伏	lóng pán hǔ fú	雄踞的样子。	无	无
龙蟠凤逸	lóng pán fèng yì	如龙盘曲，如凤深藏。比喻有才能而没有人赏识。	唐·李白《与韩刑州书》所以龙蟠凤逸之士，皆欲收名定价于君侯。	无
龙蟠凤翥	lóng pán fèng zhù	指贤者遁世归隐。	宋·苏轼《水龙吟》词古来云海茫茫，道山绛阙知何处？人间自有，赤城居士，龙蟠凤翥。清净无为，坐忘遗照，八篇奇语。	无
龙蛰蠖屈	lóng zhé huò qū	比喻隐居不仕。	语出《易·系辞下》尺蠖之屈，以求信也；龙蛇之蛰，以存身也。	今岁传胪小儿，即少时妄对隐士绝无才者也。公当盛汉之隆，而，不一建立于时，得无为儿曹所诮乎？一笑。★明·张居正《答司空陆五台书》
龙蛇飞舞	lóng shé fēi wǔ	形容书法笔势遒劲生动。	清·李汝珍《镜花缘》第八十八回闺臣听了，把神凝了一凝，只得打起精神，举起笔来，刷、刷、刷如龙蛇飞舞一般，一连写了几句。	只记得纸上～，笔势很好看的。（冰心《往事·六一姊》）
龙蛇飞动	lóng shé fēi dòng	仿佛龙飞腾，蛇游动。形容书法气势奔放，笔力劲健。	宋·苏轼《西江月·平山堂》词十年不见老仙翁，壁上龙蛇飞动。	道士卷起袍口，磨得墨浓，蘸得笔饱，在照壁上～，挥下碗口大小的二十八字。★清·陈忱《水浒后传》第三十七回
龙蛇混杂	lóng shé hùn zá	比喻好人和坏人混在一起。	《敦煌变文集·伍子胥变文》皂帛难分，龙蛇混杂。”宋·释道元《景德传灯录·文殊》凡圣同居，龙蛇混杂。	此时～，是非莫辨，安知我辈不是姜尚之所使耳？在将军不得不疑。★明·许仲琳《封神演义》第九十三回
龙虎风云	lóng hǔ fēng yún	①比喻英雄豪杰际遇得时。②指君臣遇合。	《易·干》云从龙，风从虎。	善教他，归厚德，太平时～会。★元·马致远《粉蝶儿》套曲
龙荒蛮甸	lóng huāng mán diàn	指边远蛮荒之地。亦指边远之地的少数民族国家。	无	无
龙荒朔漠	lóng huāng shuò mò	北方塞外荒漠之地。亦指在这些地方的少数民族国家。	无	无
龙腾豹变	lóng téng bào biàn	比喻议论风发，能言善辩。	无	无
龙腾虎蹴	lóng téng hǔ cù	比喻勇猛冲击，势不可当。	无	无
龙腾虎踯	lóng téng hǔ zhí	比喻勇猛冲击，势不可当。同龙腾虎蹴”。	无	无
龙腾虎踞	lóng téng hǔ jù	势力强盛，雄据一方。	晋·葛洪《抱朴子·钦士》彼虽降高抑满，以贵下贱，终亦并目以远其明，假耳以广其聪，龙腾虎踞，宜其然也。	无
龙腾虎跃	lóng téng hǔ yuè	象龙在飞腾，虎在跳跃。形容跑跳时动作矫健有力。也比喻奋起行动，有所作为。	唐·严从《拟三国名臣赞序》圣人受命，贤人受任，龙腾虎跃，风流云蒸，求之精微，其道莫不咸系乎天者也。	但是他的心情十分敞朗，坚信只要度过这段困难日子，局势就会好转，任自己～。★姚雪垠《李自成》第二卷第二十七章
龙腾虎掷	lóng téng hǔ zhì	比喻勇猛冲击，势不可当。同龙腾虎蹴”。	无	无
龙腾虎啸	lóng téng hǔ xiào	声势壮盛的样子。	无	无
龙腾凤集	lóng téng fèng jí	比喻王业兴盛，英雄会合。	无	无
龙胡之痛	lóng hú zhī tòng	指丧亲之痛。	《汉书·郊祀志上》黄帝采首山铜，铸鼎于荆山下。鼎既成，有龙垂胡涘下迎黄帝。黄帝上骑，群臣后宫从上龙七十馀人，龙乃上去……百姓卬望黄帝既上天，乃抱其弓与龙涘号。	顾此襢编之锡，曾不间于乌鸟之怀；是各簪履之遗，益无解于～。★清·钱谦益《尚宝司少卿袁可立前母陆氏加赠宜人制》
龙肝豹胎	lóng gān bào tāi	比喻极难得的珍贵食品。	《晋书·潘尼传》厥肴伊何？龙肝豹胎。	无
龙肝凤髓	lóng gān fèng suǐ	比喻极难得的珍贵食品。	明·罗贯中《三国演义》第三十六回玄德曰‘备闻公将去，如失左右手。虽龙肝凤髓，亦不甘味。	无
龙肝凤脑	lóng gān fèng nǎo	比喻极难得的珍贵食品。	明·罗贯中《三国演义》第三十六回玄德曰‘备闻公将去，如失左右手。虽龙肝凤髓，亦不甘味。	无
龙翰凤雏	lóng hàn fèng chú	比喻杰出的人才。	无	无
龙翰凤翼	lóng hàn fèng yì	比喻杰出的人才。	无	无
龙翔虎跃	lóng xiáng hǔ yuè	比喻奋发有为。	明·叶蕃《〈写情集〉序》其盖世之姿，雄伟之志，用天下国家之心，得不发为千汇万状之奇而龙翔虎跃也。	无
龙翔凤跃	lóng xiáng fèng yuè	原形容山势的蜿蜒雄壮，后也形容书法笔势有力，灵活舒展。同龙翔凤舞”。	无	无
龙翔凤舞	lóng xiáng fèng wǔ	犹言龙飞凤舞。原形容山势的蜿蜒雄壮，后也形容书法笔势有力，灵活舒展。	无	无
龙翔凤翥	lóng xiáng fèng zhù	①比喻瀑布飞泻奔腾。②比喻神采飞扬。	无	无
龙精虎猛	lóng jīng hǔ měng	比喻精力旺盛，斗志昂扬。	陈残云《山谷风烟》第二一章大家一夜没睡觉，到如今还是龙精虎猛，表现了兄弟姐妹们对地主的仇恨。	无
龙章麟角	lóng zhāng lín jiǎo	比喻珍希，不凡。	无	无
龙章秀骨	lóng zhāng xiù gǔ	比喻文章秀逸遒劲。	无	无
龙章凤彩	lóng zhāng fèng cǎi	不凡的仪表风采。	无	无
龙章凤姿	lóng zhāng fèng zī	章文采。蛟龙的文采，凤凰的姿容。比喻风采出众。	南朝·宋·刘义庆《世说新语·容止》刘孝标注康长七尺八寸，伟容色，土木形骸，不加饰厉，而龙章凤姿，天质自然。	～士不见用；獐头鼠目乃欲求官耶？★清·袁枚《随园诗话》卷十四
龙章凤函	lóng zhāng fèng hán	比喻文采炳焕。	无	无
龙神马壮	lóng shén mǎ zhuàng	谓像骏马一样的有精神。	欧阳山《苦斗》四六那时候，一个个青年人都是龙神马壮，气吞牛斗，争论起世界国家大事来，都是口若悬河，当当不断，慷慨激昂，谁也不让谁。	无
龙睁虎眼	lóng zhēng hǔ yǎn	形容蛮横霸道。	无	无
龙眉豹颈	lóng méi bào jǐng	形容勇士的长相。	无	无
龙眉凤目	lóng méi fèng mù	形容贵人相貌不同寻常。	无	无
龙盘虎踞	lóng pán hǔ jù	盘曲折环绕；踞蹲、坐∶像盘绕的龙，蹲伏的虎。特指南京。亦形容地势雄伟险要。	汉·刘胜《文木赋》枝条摧折，既剥且刊，见其文章，或如龙盘虎踞，复似鸾集凤翔。	无
龙盘虎拏	lóng pán hǔ ná	虬曲苍劲的样子。	明·何景明《古松歌》龙盘虎拏终有神，白骨苍鳞半枯死。	无
龙盘凤逸	lóng pán fèng yì	比喻怀才不遇。	无	无
龙盘凤舞	lóng pán fèng wǔ	比喻山川雄踞蜿蜒，有王者气象。	无	无
龙盘凤翥	lóng pán fèng zhù	比喻山势雄壮蜿蜒。指王者的气象。亦比喻书法笔势飞动。	后晋·沈昫《旧唐书·玄宗纪》初，上皇亲拜五陵，至桥陵，见金粟山有龙盘凤翥之势。	诏二臣共作《艮岳百咏诗》以进……《草圣亭》落笔纵横走电光，近臣时得赐云章。～皆天纵，渴骥惊蛇不足方。★宋·王明清《挥尘后录》卷二
龙生九种	lóng shēng jiǔ zhǒng	比喻同胞兄弟品质、爱好各不相同。同龙生九子”。	无	无
龙生九子	lóng shēng jiǔ zǐ	古代传说，龙生有九子，九子不成龙，各有所好。比喻同胞兄弟品质、爱好各不相同。	明·徐应秋《玉芝堂谈荟·龙生九子》龙生九子不成龙，各有所好。	无
龙潭虎窟	lóng tán hǔ kū	潭深水池；窟洞穴。龙居住的深水潭，虎栖身的巢穴。比喻极其凶险的地方。	元·王实甫《丽春堂》第三折闲对着绿树青山，消遣我烦心倦目，潜入那水国渔乡，早跳出龙潭虎窟。	无
龙潭虎穴	lóng tán hǔ xué	龙潜居的深水坑，老虎藏身的巢穴。比喻极险恶的地方。	元·无名氏《昊天塔》第三折不甫能撞开了天关地户，跳出这龙潭虎窟。	你父亲因他不是个诗书礼乐之门，一面推辞，便要离了这～。★清·文康《儿女英雄传》第十九回
龙潜凤采	lóng qián fèng cǎi	比喻英俊之士才能未展现。	无	无
龙游曲沼	long you qu zhao	传说龙耀五彩，所以以游龙为喻。沼池子。	无	无
龙江虎浪	lóng jiāng hǔ làng	形容惯于兴风作浪。	无	无
龙楼凤阙	lóng lóu fèng què	指帝王宫阙。	无	无
龙楼凤阁	lóng lóu fèng gé	①帝王的宫殿、楼阁。②喻指封建统治者的巢穴。	无	无
龙楼凤池	lóng lóu fèng shi	指禁省，皇宫。	明·梁辰鱼《浣纱记·送钱》念生长在香闰绣帏，念出入在龙楼凤池。	无
龙楼凤城	lóng lóu fèng chéng	犹言龙楼凤池。指禁省，皇宫。	明·陈汝元《金莲记·偕计》论文章围棘堪驰骋，愿藏身龙楼凤城。	无
龙断可登	lóng duàn kě dēng	指可经营得利。龙，通垄”。	无	无
龙断之登	lóng duàn zhī dēng	指谋利求财。龙，通垄”。	无	无
龙攀凤附	lóng pān fèng fù	犹言攀龙附凤。指巴结投靠有权势的人以获取富贵。	无	无
龙拏虎跳	lóng ná hǔ tiào	犹言龙争虎斗。	俞锷《醉歌行》说霸争王各不让，龙拏虎跳旦复昏。	我以为这并不比～的战斗场面少些激动人心的力量。★茅盾《北方的原野》
龙拏虎攫	lóng ná hǔ jué	犹言龙争虎斗。比喻笔势遒劲、奔放。	清·王晫《今世说·企羡》新城王西樵阮亭，每过邮亭夜店，辄题诗壁上，诗既惊人，使笔斗大，龙拏虎攫。	无
龙拏虎掷	lóng ná hǔ zhì	犹言龙争虎斗。	宋·喻汝砺《八阵图》诗笑云此公大肚皮，龙拏虎掷填胸胄。	自汉迄今，全史之大，部分，皆演于江河间之原野，被～，甲兴乙仆，殆未有出山东、安徽、江苏、河南、湖北数省外者也。★梁启超《中国地理大势论》
龙战鱼骇	lóng zhàn yú hài	比喻战争激烈。	无	无
龙战虎争	lóng zhàn hǔ zhēng	形容斗争或竞赛很激烈。同龙争虎斗”。	无	无
龙战玄黄	lóng zhàn xuán huáng	比喻战争激烈，血流成河。同龙血玄黄”。	茅盾《回忆之类》不过，当那一声焦雷打到我们面前时，童稚之心也曾欢喜而鼓舞，也曾睁大了惊异的眼睛，痴望着‘龙战玄黄’的天地，好像这一切本在意中，要来的总归要来，而现在是终于来了而已。	无
龙心凤肝	lóng xīn fèng gān	喻指极珍贵稀有的名菜。	无	无
龙德在田	lóng dé zài tián	指恩德广被，无所不在。	《易·干》‘见龙在田’，德施普也。	无
龙御上宾	lóng yù shàng bīn	此为皇帝之死的讳饰语。意为乘龙升天，为天帝之宾。同龙驭上宾”。	《史记·封禅书》黄帝采首山铜，铸鼎于荆山下。鼎既成，有龙垂胡涘下迎黄帝。黄帝上骑，群臣后宫从上者七十馀人，龙乃上去。	尼古拉二世‘～’之后，罗马诺夫氏竟已‘覆宗绝祀’了。★鲁迅《坟·春末闲谈》
龙幡虎纛	lóng fān hǔ dào	指将帅之旗。	无	无
龙屈蛇伸	lóng qū shé shēn	比喻君子受屈而小人得志。	无	无
龙威虎震	lóng wēi hǔ zhèn	形容气势奔放雄壮。常形容书法笔势的遒劲有力，灵活舒展。	无	无
龙威燕颔	lóng wēi yàn hàn	形容威严雄武的相貌。	无	无
龙姿凤采	lóng zī fèng cǎi	形容姿态风采非凡。	无	无
龙头锯角	lóng tóu jù jiǎo	比喻大胆冒险。	无	无
龙头蛇尾	lóng tóu shé wěi	比喻开头盛大，结尾衰减。	宋·朱熹《朱子语类》第130卷如在欧公文集序，先说得许多天来底大，恁地好了，到结束处，却只如此，盖不止龙头蛇尾矣。	闹了七八年，才～地告了终结。★郭沫若《历史人物·隋代大音乐家万家常》
龙多乃旱	lóng duō nǎi hàn	比喻人多互相依赖，反而办不成事。	无	无
龙吟虎啸	lóng yīn hǔ xiào	象龙在鸣，虎在啸。比喻相关的事物互相感应。也形容人发迹。	汉·张衡《归田赋》尔乃龙吟方泽，虎啸山丘。	～，鹤唳莺鸣。★明·吴承恩《西游记》第六十回
龙去鼎湖	lóng qù dǐng hú	指帝王去世。	典出《史记·封禅书》黄帝采首山铜，铸鼎于荆山下。鼎既成，有龙垂胡涘下迎黄帝。黄帝上骑，群臣后宫从上者七十馀人，龙乃上去。馀小臣不得上，乃悉持龙涘，龙涘拔，堕，堕黄帝之弓。百姓仰望黄帝既上天，乃抱其弓与胡涘号，故后世因名其处曰鼎	无
龙化虎变	lóng huà hǔ biàn	比喻变化莫测。	《易·革》大人虎变，其文炳也。”《史记·老子韩非列传》（孔子）谓弟子曰‘鸟，吾知其能飞；鱼，吾知其能游；兽，吾知其能走。走者可以为罔，游者可以为纶，飞者可以为砫。至于龙，吾不能知其乘风云而上天。’	～，可以哸虚空，虚空非无也；可以贯金石，金石非有也。……知此道者形不可得毙，神不可得逝。★南唐·谭峭《谭子化书·道化·龙虎》
龙凤呈祥	lóng fèng chéng xiáng	指吉庆之事。	《孔丛子·记问》天子布德，将致太平，则麟凤龟龙先为之呈祥。	无
龙兴凤举	lóng xīng fèng jǔ	比喻王者兴起。	无	无
龙兴云属	lóng xīng yún shǔ	比喻王者兴起则必遇贤臣良将。	《易·干》云从龙，风从虎。	夫虎啸风驰，～，故重华立而元凯升，辛受生而飞廉进。★南朝·梁·刘孝标《辩命论》
龙伸蠖屈	lóng shēn huò qū	形容笔势飞动，书法高超。	无	无
龙争虎斗	lóng zhēng hǔ dòu	形容斗争或竞赛很激烈。	汉·班固《答宾戏》分裂诸夏，龙战虎争。	我不信你敢差排吕太后，枉以后～，都是俺鸾交凤友。★元·马致远《汉宫秋》第二折
龙争虎战	lóng zhēng hǔ zhàn	形容斗争或竞赛很激烈。同龙争虎斗”。	无	无
龙举云属	lóng jǔ yún shǔ	比喻王者兴起则必遇贤臣良将。同龙兴云属”。	《南齐书·高帝纪上》麾旆所临，风行草靡，神算所指，龙举云属。	无
龙举云兴	lóng jǔ yún xīng	比喻王者兴起则必遇贤臣良将。同龙兴云属”。	《东观汉记·光武皇帝纪》帝既有仁圣之明，气势形体，天然之姿，固非人之敌，翕然龙举云兴，三雨而济，天下荡荡，人无能名焉。	无
龈龈计较	yín yín jì jiào	指对无关紧要的事过分计较。同斤斤计较”。	梁启超《中日交涉汇评·解决悬案耶新要求耶》以吾两国唇齿兄弟之交就情分上原可不必龈龈计较。	无
龈齿弹舌	yín chǐ dàn shé	龇牙咧嘴地咒骂。	明·沈德符《野获编·妇女·燕姬》所饷不满所望，必龈齿弹舌，狞凶万状。	无
龇牙裂嘴	zī yá liè zuǐ	露出牙，张开嘴。形容凶狠难看的样子。	明·施耐庵《水浒传》第四十七回杨雄、石秀都跟出前厅来看时，只见杜兴下了马，入得庄门，见他模样，气得紫涨了面皮，龇牙露嘴，半晌说不的话。	吃饭一拿起饭碗，就～装鬼脸说怎么净吃小米，还不敌猪食。人家那边一天两顿面，我还嫌不合口味。”★杨朔《熔炉》
龇牙咧嘴	zī yá liě zuǐ	龇露齿。张着嘴巴，露出牙齿。形容凶狠或疼痛难忍的样子。	明·吴承恩《西游记》第五回即咨牙咧嘴道‘不好吃！不好吃！’	?糜两岸上的狗，吃死尸都吃红了眼，见了生人就～。★峻青《秋色赋·故乡杂忆》
龃龉不合	jǔ yǔ bù hé	龃龉上下牙齿不相配合。喻意思不合，有分歧。	宋·陆游《贺吏部陈侍郎启》然贤能之进，常龃龉而不合，亦稀阔而难遭。	无
齿颊生香	chǐ jiá shēng xiāng	嘴边觉有香气生出。形容谈及之事使人产生美感。	清·黄景仁《即席分赋得卖花声》之二怜他齿颊生香处，不在枝头在担头。	我只爱駪夫家的双红姐，说着还～。★《儒林外史》第三四回
齿颊挂人	chǐ jiá guà rén	指为人们所称道。	何启、胡礼垣《新政论义》及知名之国皆有可取之物，齿颊挂人，多者二十馀种，再次亦数种，惟中国则无一见称焉。	无
齿过肩随	chǐ guò jiān suí	指尊礼长者。	《梁书·文学传下·陆云公》见与齿过肩随，礼殊拜绝，怀抱相得，忘其年义。	无
齿豁头童	chǐ huō tóu tóng	齿缺发秃。指老态。	宋·陈师道《宿柴城》诗卧埋尘叶走烟，齿豁头童不计年。	～方吾此，乃翁见事可怜迟。★宋·陆游《示儿》诗
齿落舌钝	chǐ luò shé dùn	指年老掉齿，说话不清楚。	《红楼梦》第二回那老僧既聋且昏，又齿落舌钝，所答非所问。	无
齿若编贝	chǐ ruò biān bèi	编顺次第排列；贝贝壳。形容牙齿整齐洁白。	《汉书·东方朔传》目若玄珠，齿若编贝。	无
齿白唇红	chǐ bái chún hóng	牙齿白，嘴唇红。形容面容美。	明·胡文焕《琼琚记·桑下戏妻》只见唇红齿白，桃花脸，绿鬓朱颜柳叶眉，因此不忍而去。	那厮唤做小张三”，生得眉清目秀，～。★明·施耐庵《水浒全传》第二十回
齿甘乘肥	chǐ gān chéng féi	食美味，骑骏马。形容生活豪奢。	清·王韬《原士》而游惰者且齿甘乘肥，三代下之国家，所以有岌岌之势也。	无
